"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"87","Normal/Others","WS/MP106/2023-2024/1522-Providing supply pipelines for drinking water","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Gram Panchayat Richhai, Janpad Panchayat Jabalpur Sharda Nagar ke gram purva main Motor evam pipe line dwara jal suply hetu, vidhan Sabha Panagar, District Jabalpur","23-Jun-2023","300000","06-Oct-2023"
"88","Normal/Others","WS/MP187/2023-2024/1523-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"89","Normal/Others","WS/MP187/2023-2024/1524-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"90","Normal/Others","WS/MP187/2023-2024/1525-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"91","Normal/Others","WS/MP187/2023-2024/1526-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"92","Normal/Others","WS/MP187/2023-2024/1527-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"93","Normal/Others","WS/MP187/2023-2024/1528-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"94","Normal/Others","WS/MP187/2023-2024/1529-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"95","Normal/Others","WS/MP187/2023-2024/1530-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"96","Normal/Others","WS/MP187/2023-2024/1531-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"97","Normal/Others","WS/MP187/2023-2024/1532-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"98","Normal/Others","WS/MP187/2023-2024/1533-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"99","Normal/Others","WS/MP187/2023-2024/1534-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"100","Normal/Others","WS/MP187/2023-2024/1535-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"101","Normal/Others","WS/MP187/2023-2024/1536-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"102","Normal/Others","WS/MP187/2023-2024/1537-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"103","Normal/Others","WS/MP187/2023-2024/1538-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"104","Normal/Others","WS/MP187/2023-2024/1539-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"105","Normal/Others","WS/MP187/2023-2024/1540-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"106","Normal/Others","WS/MP187/2023-2024/1541-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"107","Normal/Others","WS/MP187/2023-2024/1542-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"108","Normal/Others","WS/MP106/2023-2024/1543-Construction of shelters for animals","Madhya Pradesh","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Dayoday Pashu Seva samiti Registration no. 04/16/04/07937/04 Gadarwara, District Narsinghpur main Damru Ghati ke pas sthit Goushala main Shade nirman ke liye.","23-Jun-2023","300000","26-Feb-2024"
"109","Normal/Others","WS/MP187/2023-2024/1544-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"110","Normal/Others","WS/MP187/2023-2024/1545-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"111","Normal/Others","WS/MP187/2023-2024/1546-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"112","Normal/Others","WS/MP187/2023-2024/1547-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"113","Normal/Others","WS/MP187/2023-2024/1548-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"114","Normal/Others","WS/MP187/2023-2024/1549-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"115","Normal/Others","WS/MP187/2023-2024/1550-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"116","Normal/Others","WS/MP187/2023-2024/1551-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"117","Normal/Others","WS/MP187/2023-2024/1552-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"118","Normal/Others","WS/MP187/2023-2024/1553-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"119","Normal/Others","WS/MP187/2023-2024/1554-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"120","Normal/Others","WS/MP187/2023-2024/1555-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"121","Normal/Others","WS/MP187/2023-2024/1556-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"122","Normal/Others","WS/MP187/2023-2024/1557-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"123","Normal/Others","WS/MP187/2023-2024/1558-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"124","Normal/Others","WS/MP187/2023-2024/1559-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"125","Normal/Others","WS/MP187/2023-2024/1560-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"126","Normal/Others","WS/MP187/2023-2024/1561-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"127","Normal/Others","WS/MP187/2023-2024/1562-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"128","Normal/Others","WS/MP187/2023-2024/1563-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"129","Normal/Others","WS/MP187/2023-2024/1566-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"130","Normal/Others","WS/MP187/2023-2024/1567-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"131","Normal/Others","WS/MP187/2023-2024/1568-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"132","Normal/Others","WS/MP187/2023-2024/1569-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"133","Normal/Others","WS/MP187/2023-2024/1570-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"134","Normal/Others","WS/MP187/2023-2024/1571-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"135","Normal/Others","WS/MP187/2023-2024/1572-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"136","Normal/Others","WS/MP187/2023-2024/1573-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"137","Normal/Others","WS/MP106/2023-2024/1593-Construction of rooms and halls in school and colleges","Madhya Pradesh","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Gram Saray Chhola Gram Panchayat Husainpur, District Morena ke Sumavali Vidhan sabha sthit Kisan Uchchtar Madhyamik Vidyalaya main atirikt Adhayyan Kaksh nirman hetu, District Morena","24-Jun-2023","500000","20-Feb-2024"
"138","Normal/Others","NA-Purchase of books for public libraries/ digitization of library books","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Civil Court Mauganj Rewa main library hetu Books ki kharid, Vidhan Sabha Mauganj, District Rewa (mention in letter no.2975 at Column no.1)","24-Jun-2023","50000","NA"
"139","Normal/Others","NA-Installing community drinking water plants","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","2 nag Voltas Drinking water Cooler Model no. WC FS 60/120, for Civil Court Mauganj hetu, Vidhan sabha Mauganj, District Rewa (metion in letter no.2975 at Column no.2)","24-Jun-2023","93176","NA"
"140","Normal/Others","NA-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Construction and Shade repair, Adhivakta Sangh Civil Court Muaganj, Vidhan Sabha Mauganj Rewa, District Rewa (mention in letter no. 2975 at column no.3)","24-Jun-2023","100000","NA"
"141","Normal/Others","WS/MP106/2023-2024/1599-Construction of community centers and community halls","Madhya Pradesh","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Gram panchayat Pipariya (Mushran), Vikaskhand Gotegaon ke gram  Pipariya (Mushran) main Samudayik bhavan nirman, Vidhansabha Gotegaon, District Narsinghpur (letter no. 2976 at column no. 1)","24-Jun-2023","700000","26-Feb-2024"
"142","Normal/Others","WS/MP106/2023-2024/1600-Construction of community centers and community halls","Madhya Pradesh","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Gram panchayat Pipariya (Mushran), Vikaskhand Gotegaon ke Govt. Madhyamik shala Parisar Pipariya (Mushran) main Teen Shade nirman Kary, Vidhansabha Gotegaon, District Narsinghpur (letter no. 2976 at column no. 2)","24-Jun-2023","640000","26-Feb-2024"
"143","Normal/Others","WS/MP106/2023-2024/1601-Construction of community centers and community halls","Madhya Pradesh","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Gram panchayat Jhot, Vikaskhand Gotegaon ke Paramhanshi Ganga Ashram Jhoteshwar main Teen Shade  nirman Kary, Vidhansabha Gotegaon, District Narsinghpur (letter no. 2976/23 at column no. 3)","24-Jun-2023","700000","20-Feb-2024"
"144","Normal/Others","WS/MP106/2023-2024/1604-Providing drains and gutters for public drainage","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Gram evam Gram Panchayat Bheslai, Janpad Panchayat Nisarpur ke antargat Sitaram Alava ke Khet se Nansingh Alava ke khet tak Nikalne wale nale main retaining wall, Saundrykaran evam anay kary hetu, vidhan sabha 198-Kukshi, District Dhar","24-Jun-2023","499555","08-Jan-2024"
"145","Normal/Others","WS/MP106/2024-2025/1624-Construction of buildings for community cultural activities","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Gram panchayat Sagda Jhapani, Janpad Panchayt Jabalpur ke Khermai Mandir ke pas Rangmanch nirman kary, Vidhan Sabha Bargi, District Jabalpur (letter no. 2997 at column no.1)","25-Jun-2023","300000","21-Nov-2024"
"146","Normal/Others","WS/MP106/2024-2025/1625-Construction of community centers and community halls","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Gram panchayat Saliwada Devdwar, Janpad Pachayat Jabalpur ke Saliwada Devdwar main Samudayik Bhavan nirman kary, vidhansabah Bargi, District Jabalpur (letter no. 2997 at Column no.2)","25-Jun-2023","400000","02-Jul-2024"
"147","Normal/Others","WS/MP106/2024-2025/1626-Construction of buildings for community cultural activities","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Gram panchayat Bargi, Janpad Panchayt Jabalpur ke Bargi main Rangmanch nirman kary, Vidhan Sabha Bargi, District Jabalpur (letter no. 2997 at column no.3)","25-Jun-2023","300000","04-Sep-2024"
"148","Normal/Others","WS/MP106/2023-2024/1627-Construction of boundary walls of existing public and community buildings","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Pt. Deendyal Upadhyay ward ke antargat Krishnam Society Udyan me Paver Block evam Boundryball banane ka kary, Vidhansabha Uttar-Madhya, District Jabalpur","25-Jun-2023","752998","05-Oct-2023"
"149","Normal/Others","WS/MP106/2025-2026/1628-Construction of community centers and community halls","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Radhakrishnan ward me Chopda Kuan ke pas Samudayik Bhavan nirman kary, Vidhan sabha poorv, District Jabalpur (letter no. 2999/23 at column no.1)","25-Jun-2023","500000","30-Jan-2026"
"150","Normal/Others","WS/MP106/2023-2024/1631-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Gram Panchayat Manegaon, Janpad Panchayat Gotegaon ke gram Manegaon main Samudayik Bhavan Parisar & School Parisar main Paver Block Lagane hetu, Vidhansabha Gotegaon, District Narsinghpur","25-Jun-2023","300000","07-Dec-2023"
"151","Normal/Others","WS/MP106/2025-2026/1632-Installing tube-wells and borewells","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","1 nag Nalkup Khanan, Naya ward no. 76, Pariyat Jabalpur, Vidhan Sabha Panagar, District Jabalpur","25-Jun-2023","123000","29-Jan-2026"
"152","Normal/Others","WS/MP106/2023-2024/1633-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Gram Panchayat Gunj Khamariya, Janpad Panchayat Patan ke gram Gunj Khamariya me Jitendra Patel ke ghar se Shubham Patel ke ghar tak C C road construction, vidhansabha patan, District Jabalpur","25-Jun-2023","198000","05-Oct-2023"
"153","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","BHIND(DISTRICT COLLECTOR BHIND_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Banipur Road se Ramswaroop ke khet ke pas Khanba ki aor DevSingh ka Pura tak CC Road Nirman Kary, Bhind (Mention in letter no. 3066 at column no.1)","25-Jun-2023","250000","NA"
"154","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","BHIND(DISTRICT COLLECTOR BHIND_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Jagdish ke khet se Yogendra ki baithak ki aur Dev singh ka pura me CC road Nirman, Vidhasabha 13-Gohad, District Bhind (letter no. 3066/23, Column no. 2)","25-Jun-2023","250000","NA"
"155","Normal/Others","WS/MP106/2023-2024/1636-Installing tube-wells and borewells","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Installation of tubewell including 1000 leter of water tank with 2HP pump at gram panchayat kakarhata, janpad panchayat patan at Nahandevi colony vidhansabha Patan, District jabalpur","25-Jun-2023","152914","05-Oct-2023"
